,pay_schedule_1,pay_schedule_2,pay_schedule_3,pay_schedule_4,home_owner,income,current_address_year,has_debt,amount_requested,risk_score,risk_score_2,risk_score_3,ext_quality_score,ext_quality_score_2,inquiries_last_month,e_signed,personal_accounts_month
46,1,0,0,0,0,45.48,3,1,200.0,16.1437,5.98292437,9.00184055,5.91933,3.9193299999999995,23,1,50
47,1,0,0,0,1,18.9,4,1,80.0,16.4576,7.07617647,9.53021189,7.1801,9.1801,6,0,97
48,1,0,0,0,0,31.25,0,0,70.0,16.1125,7.24268067,9.21462561,5.803979999999999,6.803979999999999,4,0,109
49,1,0,0,0,1,37.75,2,1,50.0,15.7113,6.376277310000001,7.3079772,4.48106,5.481059999999999,6,1,25
50,0,0,1,0,0,46.35,9,1,120.0,15.9177,7.68841176,9.80909948,5.82855,7.82855,7,1,27
51,0,1,0,0,0,52.6,7,1,70.0,16.1287,7.62060504,8.0467768,5.1725699999999994,5.1725699999999994,8,0,30
52,0,1,0,0,0,35.95,5,1,110.0,16.1074,7.86142017,9.013512299999999,7.55791,7.55791,4,1,98
53,0,1,0,0,0,20.35,6,1,50.0,15.7233,6.939773110000001,9.56354372,5.8159600000000005,8.81596,10,0,119
54,0,1,0,0,0,30.35,6,1,50.0,15.7872,6.63416807,8.87782816,6.12984,5.12984,6,1,39
55,0,0,0,1,1,37.8,11,1,80.0,15.6896,7.1177563,8.79904381,7.460139999999999,6.46014,6,1,0
56,0,1,0,0,0,15.2,2,0,45.0,15.4448,8.46243697,8.901396120000001,6.23151,7.23151,2,1,37
57,0,1,0,0,1,67.7,1,1,70.0,16.3954,6.6208991600000004,8.63182349,8.09772,8.09772,7,1,37
58,0,1,0,0,0,40.6,4,1,290.0,16.1317,6.356655460000001,8.8108278,7.600090000000001,4.60009,3,1,88
59,1,0,0,0,0,15.6,2,1,80.0,15.8942,5.43066387,8.49726163,5.848179999999999,6.84818,4,1,29
60,0,0,0,1,1,38.6,4,1,120.0,15.9635,7.86551261,9.04684414,7.4830700000000006,4.48307,11,1,27
61,1,0,0,0,1,26.2,10,0,40.0,15.6855,6.34643697,8.60836775,5.709309999999999,5.709309999999999,11,0,49
62,1,0,0,0,1,65.6,2,1,40.0,14.8942,7.3188067199999995,9.327751840000001,5.56111,6.56111,12,1,29
63,0,0,0,1,0,33.9,1,0,60.0,15.3769,4.93293277,8.586258749999999,7.564570000000001,6.56457,12,0,37
64,0,0,1,0,1,21.5,9,1,60.0,15.6704,6.425966389999999,8.56504758,6.409470000000001,6.409470000000001,3,1,17
65,1,0,0,0,0,61.2,8,1,90.0,15.8654,8.633764710000001,8.39648052,5.88167,6.88167,6,0,122
66,0,0,0,1,1,35.5,6,1,110.0,15.7961,7.576226889999999,8.597481590000001,4.71741,4.71741,8,0,74
67,1,0,0,0,1,33.25,3,1,80.0,16.0585,7.64839496,8.97917041,4.25807,5.25807,5,1,27
68,1,0,0,0,0,51.85,3,1,110.0,15.5477,7.15057983,9.474209909999999,5.78785,6.78785,10,0,99
69,1,0,0,0,1,45.65,0,1,90.0,16.2335,7.74666387,8.08156761,5.52686,5.52686,5,0,38
70,1,0,0,0,0,26.4,0,1,100.0,15.863,7.35910084,8.69938499,7.02679,7.02679,8,1,29
71,1,0,0,0,0,15.2,2,1,60.0,16.3743,7.20694118,8.00345663,7.42486,8.424859999999999,6,0,39
72,1,0,0,0,1,61.55,10,1,60.0,15.641,5.99121008,7.97943976,8.7083,6.7083,9,1,54
73,0,0,1,0,1,22.95,7,1,55.0,14.3684,2.6926974799999996,7.5646435599999995,4.54607,4.54607,9,1,14
74,0,1,0,0,0,45.15,2,0,80.0,16.0394,6.4284789899999994,8.833610160000001,6.30277,6.30277,6,1,26
75,1,0,0,0,1,93.23,1,1,50.0,15.7923,3.78892437,8.90150835,5.88435,4.88435,7,0,62
76,0,1,0,0,0,46.95,3,1,52.5,15.6923,7.42878992,8.00267104,5.3044,6.3044,2,1,0
77,1,0,0,0,1,62.4,4,0,360.0,16.2147,6.74536975,8.59680822,4.6942,5.6942,2,1,50
78,0,1,0,0,1,18.5,1,0,60.0,15.6579,8.1327563,8.733390199999999,4.90527,4.90527,8,1,16
79,1,0,0,0,1,32.65,1,1,70.0,16.049,7.8069916,9.5519842,6.80081,5.800809999999999,6,1,49
80,1,0,0,0,1,50.5,6,0,270.0,16.2632,6.35122689,9.3955378,5.354419999999999,6.354419999999999,2,1,86
81,1,0,0,0,1,32.5,2,0,90.0,15.641,6.31205042,8.84494523,5.8847499999999995,7.88475,6,0,38
82,1,0,0,0,1,27.9,2,1,65.0,15.9024,8.08312605,8.8108278,7.30314,5.303139999999999,4,1,38
83,1,0,0,0,0,56.05,2,0,90.0,15.6704,4.0612268899999995,9.5519842,7.21994,5.219939999999999,4,1,38
84,1,0,0,0,1,47.8,3,1,70.0,15.5537,7.97761345,8.51993177,7.88017,4.88017,3,0,25
85,1,0,0,0,0,27.15,3,1,120.0,15.9293,7.1925126100000005,8.97860927,6.91188,7.91188,4,1,0
86,1,0,0,0,1,47.0,1,1,60.0,15.9153,7.72633613,8.69972167,6.50032,7.50032,4,1,37
87,1,0,0,0,0,51.95,7,1,120.0,15.9556,8.17215966,9.21574789,5.19763,8.19763,5,0,99
88,1,0,0,0,1,60.0,1,0,190.0,16.34,6.24726891,8.75404022,7.9170300000000005,4.9170300000000005,5,1,37
89,0,0,1,0,0,50.1,1,1,300.0,16.3003,7.59541176,9.83311636,5.46637,7.4663699999999995,3,1,100
90,0,0,1,0,1,59.33,2,1,120.0,16.1762,5.349067229999999,8.51858502,5.56316,4.56316,7,1,26
91,1,0,0,0,0,25.8,0,1,70.0,15.768,6.57710084,9.67599659,6.14114,7.14114,6,1,38
92,1,0,0,0,0,24.5,1,1,50.0,14.9153,6.40714286,8.03712516,6.097510000000001,6.097510000000001,12,1,54
93,0,1,0,0,1,24.9,8,1,60.0,15.3836,7.296495800000001,9.147400789999999,6.50844,5.50844,20,1,28
94,0,1,0,0,0,52.9,2,1,250.0,16.0785,7.5521848700000005,8.551916859999999,6.103899999999999,8.103900000000001,5,1,62
95,1,0,0,0,0,20.5,1,1,50.0,15.9142,7.82109244,8.66549201,7.19201,8.19201,6,1,54
96,1,0,0,0,0,32.75,2,1,50.0,15.6978,7.19666387,8.24968576,7.13543,6.1354299999999995,2,0,28
97,1,0,0,0,1,62.3,1,0,80.0,15.6197,7.6368655500000004,8.03645179,4.08179,7.08179,3,0,38
98,1,0,0,0,1,22.55,2,1,130.0,16.2732,7.73413445,9.58598941,7.076639999999999,7.076639999999999,5,0,39
99,1,0,0,0,0,32.85,1,1,100.0,16.068,5.72105042,8.98994433,5.83027,5.83027,5,0,14
100,1,0,0,0,0,27.3,1,0,70.0,15.8906,6.65710924,7.57541749,6.28742,6.28742,4,1,50
101,0,0,0,1,1,36.8,9,0,270.0,16.2466,5.19691597,8.65415694,4.99137,5.99137,2,1,37
102,1,0,0,0,0,32.66,2,1,40.0,15.997,7.0691260499999995,9.05773029,8.78984,5.789840000000001,5,1,17
103,0,0,0,1,0,30.75,0,0,70.0,16.1257,6.228815130000001,7.73264949,4.88685,5.88685,21,1,26
104,0,0,0,1,1,81.65,1,1,130.0,15.4799,6.61782353,8.07090591,4.26302,7.26302,5,0,27
105,0,0,0,1,0,36.7,2,1,90.0,15.3836,6.86006723,9.39385437,8.490459999999999,6.490460000000001,10,0,54
106,0,0,0,1,0,30.95,3,0,70.0,15.6978,6.19986555,9.29464446,7.29224,6.29224,13,0,28
107,0,1,0,0,0,20.55,1,1,80.0,16.1115,6.94332773,7.93454839,6.9313899999999995,4.93139,6,1,0
108,0,1,0,0,0,32.2,1,1,85.0,15.9556,6.68793277,9.05773029,7.853529999999999,5.85353,8,1,55
109,0,0,0,1,0,27.6,2,1,40.0,16.2778,7.43087395,8.68760101,6.422560000000001,8.42256,6,0,62
110,1,0,0,0,0,31.85,8,1,80.0,15.6579,7.58644538,8.49569043,7.02959,7.02959,7,1,54
111,1,0,0,0,1,52.5,0,1,70.0,16.1908,7.989285710000001,8.552478,6.960579999999999,5.96058,12,0,23
112,0,1,0,0,0,27.35,10,1,90.0,15.8977,5.93923529,8.51993177,4.29159,6.29159,3,1,25
113,0,0,0,1,1,25.95,6,1,60.0,15.634,6.9084873899999995,9.39463997,7.83477,5.834770000000001,11,0,55
114,0,1,0,0,1,32.3,3,0,40.0,16.4096,7.21967227,8.67716376,5.81619,6.81619,3,0,59
115,1,0,0,0,0,22.25,2,1,55.0,15.3145,7.5072521000000005,9.01373676,6.99652,4.99652,5,1,42
116,1,0,0,0,1,17.35,6,0,40.0,16.3312,7.49821008,8.912731189999999,7.53672,4.53672,4,0,50
117,0,1,0,0,1,27.45,2,1,40.0,16.294,7.8190756299999995,9.754107560000001,9.07785,9.07785,6,1,86
118,0,1,0,0,0,22.05,1,1,90.0,15.8775,7.49763025,9.03449901,6.04733,8.04733,8,0,54
119,0,0,0,1,1,15.05,1,1,110.0,15.6168,7.05418487,8.21657838,4.59751,5.59751,3,0,30
120,0,1,0,0,0,15.2,2,1,90.0,15.9737,6.8090084,8.632384629999999,8.029969999999999,5.0299700000000005,3,1,55
121,1,0,0,0,1,22.45,3,1,40.0,16.1743,6.78409244,8.96828425,7.55601,5.556010000000001,5,0,62
122,0,1,0,0,1,50.2,2,1,40.0,15.5657,6.725159659999999,9.19173101,6.556380000000001,7.556380000000001,4,0,54
123,0,1,0,0,0,41.65,0,1,42.5,15.6855,6.77441176,8.721830670000001,7.7009300000000005,4.70093,6,1,27
124,1,0,0,0,0,36.25,4,1,50.0,15.5049,6.7494201700000005,8.28436434,4.67866,5.67866,6,1,81
125,1,0,0,0,0,17.75,2,0,100.0,16.1084,5.95947899,9.10273388,7.186439999999999,6.186439999999999,10,0,16
126,0,0,1,0,0,25.2,3,0,60.0,15.7313,7.74677311,8.64349524,5.367420000000001,6.36742,10,1,38
127,1,0,0,0,1,52.65,6,0,70.0,15.0102,4.7933445400000005,8.4849165,3.95115,4.95115,7,0,49
128,1,0,0,0,0,26.45,2,1,90.0,16.0286,7.31947899,8.77693482,5.710610000000001,8.710609999999999,10,0,41
129,1,0,0,0,0,37.8,1,1,70.0,15.6991,7.199613449999999,8.58592207,4.35311,6.353109999999999,8,1,38
130,1,0,0,0,1,42.9,8,1,90.0,15.5908,3.88364706,8.654044709999999,4.27974,4.27974,10,1,28
131,1,0,0,0,1,51.4,2,1,90.0,16.2099,7.17271429,9.80977285,7.463229999999999,4.46323,4,1,42
132,1,0,0,0,0,17.0,2,1,40.0,15.9815,7.23157983,9.732223020000001,9.17182,9.17182,6,0,38
133,0,1,0,0,0,45.95,3,0,70.0,15.7498,6.457226889999999,7.4867570500000005,7.1558,5.1558,5,1,26
134,0,1,0,0,1,31.0,2,0,70.0,15.6648,7.32693277,9.52897737,5.94795,7.9479500000000005,4,1,27
135,0,0,1,0,0,27.3,0,1,70.0,15.8521,7.69809244,8.46370533,8.31974,5.3197399999999995,8,1,28
136,1,0,0,0,1,32.75,3,1,70.0,16.4342,7.85763025,8.76627312,6.02912,8.029119999999999,6,1,38
137,0,1,0,0,1,40.05,10,1,40.0,15.3426,6.71352941,8.76683426,5.983650000000001,6.98365,11,0,42
138,1,0,0,0,0,66.75,3,1,40.0,15.8654,6.54766387,9.474209909999999,7.31339,7.31339,6,0,16
139,0,1,0,0,1,34.93,2,1,170.0,15.5702,6.54668908,8.73215568,5.98458,4.98458,3,0,41
140,1,0,0,0,0,22.97,3,1,100.0,15.6883,6.6909916,8.51858502,6.2666900000000005,7.2666900000000005,8,1,28
141,0,1,0,0,0,26.2,2,1,110.0,15.6841,8.09315966,8.731370080000001,7.18203,6.182029999999999,4,0,38
142,0,1,0,0,0,30.25,1,1,105.0,16.3198,6.87923529,8.88938768,5.18471,8.184709999999999,5,1,54
143,1,0,0,0,0,31.8,9,1,115.0,16.02,6.889369749999999,8.2838032,5.590960000000001,4.59096,4,1,55
144,1,0,0,0,1,51.7,2,1,120.0,16.0362,8.43511765,9.73233525,5.47171,8.47171,5,0,56
145,0,1,0,0,1,17.25,4,1,120.0,15.0971,7.17076471,9.55153528,7.47443,7.47443,7,0,45
146,1,0,0,0,1,25.5,8,1,70.0,16.2859,6.30007563,8.574587000000001,5.008559999999999,4.00856,4,1,38
147,1,0,0,0,1,20.15,5,1,160.0,15.641,7.027050419999999,7.41829772,5.19602,6.19602,11,0,98
148,1,0,0,0,0,31.15,0,1,90.0,15.9118,6.6884201700000006,7.2966421299999995,4.80691,5.806909999999999,7,1,38
149,1,0,0,0,0,18.5,3,1,70.0,15.887,7.82721849,7.8350018,6.071,6.071,13,0,27
150,1,0,0,0,1,47.1,3,1,45.0,15.2004,6.06261345,8.7993805,8.05874,6.05874,4,1,31
151,1,0,0,0,1,32.9,7,1,80.0,16.2241,5.610352939999999,9.44985635,5.33181,7.33181,8,1,49
152,0,0,0,1,0,39.75,4,1,40.0,15.4528,6.396621850000001,8.58580984,5.2637599999999996,6.26376,5,1,43
153,0,0,1,0,0,16.7,3,1,60.0,15.6039,7.12010924,7.68775813,7.378369999999999,6.37837,3,1,39
154,1,0,0,0,1,32.75,1,1,50.0,15.6731,5.40286555,9.11362004,4.32098,4.32098,4,1,37
155,1,0,0,0,1,66.2,3,1,50.0,15.9153,6.04153782,9.22719519,8.06578,7.06578,14,0,29
156,1,0,0,0,1,71.8,0,1,90.0,15.5034,6.64357983,8.91183336,4.2626,6.262600000000001,6,1,39
157,1,0,0,0,0,26.95,2,1,80.0,16.4592,7.9959495800000004,9.16928533,8.60756,5.60756,5,0,50
158,1,0,0,0,1,25.1,10,1,120.0,15.9904,7.47784034,9.73110074,7.64822,5.64822,8,0,38
159,0,1,0,0,1,50.8,9,1,60.0,15.9408,7.5768403399999995,8.9573981,6.130879999999999,8.130880000000001,6,0,55
160,1,0,0,0,0,20.1,2,1,60.0,15.9012,6.97792437,8.90038607,7.66375,5.663749999999999,6,1,49
161,1,0,0,0,1,53.5,7,1,50.0,15.9269,6.71522689,8.8001661,7.30506,8.30506,4,0,98
162,1,0,0,0,1,21.25,3,1,60.0,15.7126,7.86167227,8.82193841,4.6944799999999995,6.69448,9,1,12
163,1,0,0,0,1,52.15,10,1,50.0,16.0297,6.93362185,9.11507901,7.465190000000001,5.46519,6,0,0
164,1,0,0,0,0,30.3,1,1,60.0,16.0297,7.38934454,9.50686838,6.6585,5.6585,7,1,38
165,1,0,0,0,1,35.0,10,1,210.0,16.3658,7.50030252,9.13629018,8.55804,6.55804,6,0,99
166,1,0,0,0,0,36.03,4,1,240.0,15.6024,6.41662185,9.30452056,5.87291,7.872909999999999,6,1,15
167,1,0,0,0,0,32.76,0,1,90.0,15.718,7.2145546199999995,8.91261896,8.61894,7.618939999999999,6,1,39
168,0,1,0,0,1,56.42,2,1,60.0,15.417,8.03233613,8.76616089,6.894679999999999,7.894679999999999,9,0,38
169,1,0,0,0,1,59.97,1,1,40.0,16.1236,7.0384958,9.002065,8.207600000000001,7.207599999999999,4,1,37
170,1,0,0,0,1,65.1,5,1,40.0,15.1517,8.40823529,9.01328784,8.65257,6.65257,3,0,16
171,1,0,0,0,0,30.9,9,1,60.0,15.9804,5.57751261,8.80083947,6.11548,5.11548,6,0,30
172,1,0,0,0,1,51.25,2,1,120.0,16.049,6.01426891,9.41753457,8.4536,8.4536,6,1,15
173,1,0,0,0,1,17.95,9,1,40.0,15.7207,6.738899160000001,8.51813611,8.39947,5.399469999999999,8,1,42
174,0,0,1,0,1,42.35,10,1,170.0,16.2118,7.24405042,9.05750584,5.37249,8.37249,11,1,43
175,1,0,0,0,1,38.9,3,1,115.0,16.412,6.85251261,8.59804274,6.10753,6.10753,4,0,38
176,1,0,0,0,0,25.8,2,1,80.0,16.008,6.880756300000001,9.3955378,5.9003499999999995,6.9003499999999995,6,0,26
177,1,0,0,0,1,65.85,3,1,60.0,16.2428,5.72778151,9.02350063,5.14053,5.14053,6,1,54
178,0,0,0,1,0,46.1,1,1,40.0,15.5775,6.80262185,9.21451338,6.74146,8.74146,6,0,26
179,0,0,1,0,0,37.3,5,1,80.0,15.9499,6.96254622,8.58693212,5.71983,6.71983,8,0,86
180,0,1,0,0,1,26.9,9,1,135.0,16.4178,7.2184285699999995,8.889836599999999,5.3035,8.3035,4,1,18
181,0,1,0,0,1,35.7,9,1,60.0,16.0701,6.9767815099999995,8.57492368,7.34508,7.34508,5,1,26
182,1,0,0,0,0,26.15,2,1,55.0,15.2004,6.69201681,8.9352891,6.9385699999999995,6.9385699999999995,8,1,97
183,1,0,0,0,0,28.45,2,1,140.0,15.3684,6.29668067,8.77671036,5.8648,6.8648,7,0,29
184,0,0,1,0,0,40.25,5,1,120.0,16.0701,7.86290756,9.2497531,8.92625,8.92625,7,0,29
185,0,1,0,0,0,47.0,2,1,60.0,15.7167,7.3548151299999995,8.03712516,8.516770000000001,5.516769999999999,6,1,28
186,0,0,0,1,0,61.25,4,1,90.0,16.0868,7.805529409999999,8.84516969,5.413360000000001,7.41336,10,1,27
187,0,1,0,0,0,26.15,9,1,120.0,16.2484,7.64833613,8.609602259999999,4.70179,6.70179,5,0,38
188,0,0,1,0,0,70.6,4,1,330.0,16.0135,8.09084874,9.012277789999999,7.812,5.812,9,0,50
189,0,1,0,0,1,42.05,10,1,510.0,16.2147,7.25410924,8.597930510000001,7.2771,6.2771,4,0,99
190,1,0,0,0,0,82.3,2,1,110.0,15.5687,7.03888235,8.64259741,4.95378,5.95378,19,1,50
191,1,0,0,0,0,31.7,2,1,40.0,15.1908,5.26369748,8.80083947,6.8547,6.8547,8,1,42
192,0,1,0,0,1,30.9,5,1,50.0,15.0405,4.40014286,9.21406446,8.33839,6.33839,3,1,39
193,0,1,0,0,0,17.65,6,1,70.0,15.8361,7.1285798300000005,8.8108278,7.95969,4.95969,5,0,38
194,1,0,0,0,1,41.15,3,1,120.0,15.7885,3.4842100799999995,8.72171844,7.5347100000000005,5.5347100000000005,15,1,86
195,1,0,0,0,1,56.57,3,1,80.0,15.5096,5.32805882,9.10250943,5.60461,4.60461,14,1,49
196,1,0,0,0,1,35.7,2,1,60.0,16.326,6.9042605,9.7432214,5.91404,6.91404,14,1,25
197,1,0,0,0,0,9.05,0,1,70.0,15.4893,7.68494958,8.731370080000001,7.0437899999999996,5.04379,4,1,39
198,1,0,0,0,1,30.15,4,1,70.0,15.0532,6.56592437,7.58664033,7.45902,4.459020000000001,5,0,40
199,1,0,0,0,1,30.0,3,0,80.0,16.1517,6.9593025200000005,9.45142755,8.38239,8.38239,6,1,15
200,1,0,0,0,0,27.35,2,1,80.0,16.1927,7.94827731,9.64232807,8.596129999999999,5.5961300000000005,3,1,37
201,0,1,0,0,1,31.25,2,0,70.0,16.3862,8.19264706,8.94561411,5.76862,4.76862,3,0,50
202,1,0,0,0,1,30.09,2,0,120.0,15.5402,7.15246218,9.55175974,8.50944,7.50944,9,1,54
203,0,1,0,0,1,31.45,6,1,90.0,14.9859,4.69731933,9.38364159,4.76065,4.76065,14,0,68
204,1,0,0,0,0,30.65,3,1,270.0,15.4799,6.12285714,9.18028371,7.1977899999999995,6.1977899999999995,11,1,41
205,0,0,0,1,0,70.85,2,1,80.0,15.1536,5.2812437,9.24784521,7.8175099999999995,4.8175099999999995,4,0,78
206,1,0,0,0,0,35.11,2,0,110.0,15.8312,7.90939496,8.732829050000001,7.8555600000000005,6.8555600000000005,7,0,37
207,0,0,0,1,0,34.2,0,1,80.0,15.6523,7.17091597,8.38402316,4.42011,5.42011,6,0,29
208,1,0,0,0,0,37.7,2,1,40.0,15.8727,7.165487390000001,9.57353205,5.01789,8.01789,15,0,29
209,1,0,0,0,1,25.55,4,1,120.0,16.285,6.49852101,8.463817559999999,6.3082400000000005,5.30824,8,1,16
210,1,0,0,0,0,53.7,1,1,90.0,16.0712,6.450378150000001,8.43968845,6.70783,5.70783,10,0,86
211,1,0,0,0,1,32.4,0,0,40.0,16.1927,7.87080672,9.31697791,5.14575,6.14575,9,1,49
212,1,0,0,0,0,37.1,4,1,40.0,15.7693,7.58047059,8.697701559999999,3.76234,3.76234,5,0,29
213,0,0,1,0,1,21.75,0,1,120.0,15.1176,6.29954622,8.96749865,7.3136,5.313600000000001,4,0,59
214,1,0,0,0,1,22.35,4,1,100.0,15.5775,6.64880672,8.76571198,4.73517,5.73517,6,0,40
215,1,0,0,0,0,16.5,2,1,70.0,15.6283,8.01413445,9.06996319,7.113009999999999,7.113009999999999,6,0,26
216,0,1,0,0,0,36.75,3,1,110.0,15.9396,6.22810924,8.13689621,6.5907599999999995,7.5907599999999995,6,1,27
217,0,1,0,0,1,21.1,1,1,45.0,15.3752,6.5804117600000005,8.94494074,4.7676,4.7676,3,1,38
218,0,1,0,0,0,15.15,0,1,70.0,16.1576,7.13829412,8.49771054,7.19347,5.19347,6,1,40
219,0,1,0,0,1,24.55,1,0,55.0,15.1135,7.396386550000001,7.76777698,5.29687,7.29687,9,1,50
220,0,0,0,1,1,31.9,1,1,50.0,16.2613,6.625,8.67682708,5.15653,7.15653,4,1,27
221,1,0,0,0,0,42.4,7,0,60.0,16.2447,7.7656722700000005,8.82306069,4.28614,7.28614,3,1,54
222,1,0,0,0,1,31.4,3,0,110.0,15.987,6.695873949999999,8.55281469,5.01449,8.01449,10,1,38
223,1,0,0,0,0,21.25,2,1,60.0,16.1975,6.41064706,7.89021817,7.39683,7.39683,14,1,50
224,0,0,1,0,0,35.7,2,1,50.0,15.0426,5.2315042,7.59887323,3.66798,6.66798,11,0,0
225,1,0,0,0,0,21.9,2,1,40.0,16.2023,8.04010924,8.821377270000001,8.30859,8.30859,3,0,42
226,0,0,1,0,1,31.8,4,1,100.0,16.0806,7.17784034,9.305530619999999,6.0736,7.0736,5,1,134
227,1,0,0,0,1,62.0,2,1,210.0,16.3912,7.63405882,7.93555845,5.9983200000000005,2.9983199999999997,8,1,38
228,1,0,0,0,1,30.26,5,0,120.0,15.0868,7.40932773,7.91378614,7.54758,7.54758,6,0,73
